mythicalCreature,mythicalCreatureLabel,mythicalCreatureDescription
http://www.wikidata.org/entity/Q114455,Drizzt Do'Urden,character from Dungeons & Dragons
http://www.wikidata.org/entity/Q11446705,如意自在,
http://www.wikidata.org/entity/Q1145968,Yilbegän,
http://www.wikidata.org/entity/Q11463554,小袖の手,
http://www.wikidata.org/entity/Q11464418,小雨坊,
http://www.wikidata.org/entity/Q11465717,Byōbunozoki,日本の妖怪
http://www.wikidata.org/entity/Q11465776,山あらし,
http://www.wikidata.org/entity/Q11467678,山地乳,
http://www.wikidata.org/entity/Q11471220,山颪 (妖怪),
http://www.wikidata.org/entity/Q11475953,Gangi kozo,
http://www.wikidata.org/entity/Q11481886,幣六,日本に伝わる架空の妖怪
http://www.wikidata.org/entity/Q11488089,Kage-onna,Wesentlich des japanischen Volksglauben
http://www.wikidata.org/entity/Q11488364,後眼,
http://www.wikidata.org/entity/Q11488365,後神,
http://www.wikidata.org/entity/Q1148977,Zhu Bajie,character of the novel Journey to the West
http://www.wikidata.org/entity/Q11496892,Tenome,Japanese mythical creature
http://www.wikidata.org/entity/Q11497077,手洗鬼,絵本百物語に登場する巨人
http://www.wikidata.org/entity/Q11497275,払子守,
http://www.wikidata.org/entity/Q11498674,撫で座頭,
http://www.wikidata.org/entity/Q11517906,Kinoko,Japanese mythological creature
http://www.wikidata.org/entity/Q11534177,柳婆,絵本百物語に登場する柳の怪異
http://www.wikidata.org/entity/Q11541990,槍毛長,
http://www.wikidata.org/entity/Q11544476,機尋,
http://www.wikidata.org/entity/Q11548435,Suiten,
http://www.wikidata.org/entity/Q11558927,Umi Zatō,Japanese yōkai
http://www.wikidata.org/entity/Q11564435,溝出,絵本百物語にある死霊譚
http://www.wikidata.org/entity/Q11566595,瀬戸大将,
http://www.wikidata.org/entity/Q11566993,Tōdaiki,平家物語などに述べられている説話
http://www.wikidata.org/entity/Q11571386,狐者異,
http://www.wikidata.org/entity/Q11571706,獨角兕大王,fictional character
http://www.wikidata.org/entity/Q11571865,猪口暮露,
